,SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT,CREDIT_TERM,DAYS_EMPLOYED_PERCENT,NB_PREVIOUS_APPLICATION,APPROVED_RATE_PREVIOUS
367,102470,Cash loans,F,N,N,1,76500.0,163512.0,13045.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.018634,10788,-1490,-1567.0,-1317,,1,1,1,1,1,0,Sales staff,3.0,2,2,SATURDAY,19,0,0,0,0,1,1,Business Entity Type 3,0.1149562977598606,0.1784033546601782,0.4848514754962666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1265.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.1374117647058823,0.17052941176470587,0.07978313518273888,-0.13811642565813867,2.0,1.0
22967,266977,Cash loans,F,N,Y,0,202500.0,573408.0,24421.5,495000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0116569999999999,20515,365243,-7249.0,-4045,,1,0,0,1,0,0,,2.0,1,1,TUESDAY,15,0,0,0,0,0,0,XNA,,0.5859329077687643,0.6626377922738201,0.0825,0.0834,0.9776,0.6940000000000001,0.0095,0.0,0.1379,0.1667,0.2083,0.0546,0.0672,0.0437,,,0.084,0.0865,0.9777,0.706,0.0096,0.0,0.1379,0.1667,0.2083,0.0558,0.0735,0.0455,,,0.0833,0.0834,0.9776,0.6981,0.0096,0.0,0.1379,0.1667,0.2083,0.0556,0.0684,0.0445,,,reg oper account,block of flats,0.0721,"Stone, brick",No,4.0,0.0,4.0,0.0,-1762.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,2.8316444444444446,0.1206,0.042590092918131595,17.803704606385573,7.0,0.6666666666666666
6783,149810,Cash loans,F,Y,Y,0,157500.0,1030680.0,65997.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0066709999999999,17984,-5483,-6356.0,-1517,6.0,1,1,1,1,0,0,Managers,2.0,2,2,WEDNESDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.5186852611387921,0.6551650014271105,0.7688075728291359,0.0175,0.0,0.9652,,,0.0,0.0345,0.0417,,0.0,,0.0097,,0.002,0.0179,0.0,0.9652,,,0.0,0.0345,0.0417,,0.0,,0.0101,,0.0021,0.0177,0.0,0.9652,,,0.0,0.0345,0.0417,,0.0,,0.0099,,0.002,,block of flats,0.0086,"Stone, brick",No,4.0,0.0,4.0,0.0,-1997.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,6.544,0.4190285714285714,0.06403248340901152,-0.3048821174377224,1.0,1.0
11597,184294,Cash loans,F,N,Y,0,112500.0,361021.5,25803.0,328500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.016612,18786,365243,-11245.0,-2334,,1,0,0,1,1,0,,2.0,2,2,FRIDAY,10,0,0,0,0,0,0,XNA,,0.7274775181561209,0.5460231970049609,0.0845,0.0459,0.9836,0.7756,0.0169,0.08,0.0345,0.4583,0.5,0.1087,0.0689,0.0761,0.0039,0.0402,0.0861,0.0476,0.9836,0.7844,0.0171,0.0806,0.0345,0.4583,0.5,0.1112,0.0753,0.0793,0.0039,0.0425,0.0854,0.0459,0.9836,0.7786,0.017,0.08,0.0345,0.4583,0.5,0.1106,0.0701,0.0774,0.0039,0.041,reg oper account,block of flats,0.0841,"Stone, brick",No,1.0,0.0,1.0,0.0,-1404.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.20908,0.22936,0.07147219763919878,19.44229745555201,1.0,1.0
11336,182295,Cash loans,M,Y,N,2,585000.0,790830.0,62613.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.001276,19428,-2621,-3768.0,-2575,17.0,1,1,0,1,0,0,Laborers,4.0,2,2,FRIDAY,5,0,0,0,1,1,0,Industry: type 9,0.3274061022060694,0.13971636009713,0.7194907850918436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.351846153846154,0.10703076923076923,0.0791737794469102,-0.13490837965822525,2.0,0.5
25081,282691,Cash loans,M,Y,N,0,90000.0,278460.0,20947.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.0196889999999999,12017,-2275,-1137.0,-4287,8.0,1,1,0,1,0,0,Laborers,1.0,2,2,SUNDAY,8,0,0,0,0,0,0,Business Entity Type 3,0.2184765039207361,0.5467815505958264,0.7449321846094795,0.1546,,0.995,,,0.16,0.1379,0.375,,,,,,,0.1576,,0.995,,,0.1611,0.1379,0.375,,,,,,,0.1561,,0.995,,,0.16,0.1379,0.375,,,,,,,,block of flats,0.1628,Panel,No,0.0,0.0,0.0,0.0,-2422.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.094,0.23275,0.0752262443438914,-0.18931513688940668,7.0,0.8571428571428571
45559,433281,Cash loans,F,Y,Y,0,112500.0,481320.0,17419.5,315000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.0196889999999999,16178,-9477,-9156.0,-4437,4.0,1,1,0,1,0,0,Managers,2.0,2,2,WEDNESDAY,9,0,0,0,0,0,0,Postal,,0.2767947755921285,0.5726825047161584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.2784,0.15484,0.03619109947643979,-0.5857955247867475,4.0,1.0
32773,338773,Cash loans,F,Y,N,0,121500.0,574488.0,18531.0,454500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.005144,20403,365243,-9089.0,-3920,11.0,1,0,0,1,1,0,,2.0,2,2,FRIDAY,11,0,0,0,0,0,0,XNA,0.8035249110202205,0.5183623908656565,0.5832379256761245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-648.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,4.728296296296296,0.15251851851851853,0.032256548439654094,17.90143606332402,7.0,1.0
13136,195440,Cash loans,F,N,Y,0,135000.0,279000.0,15264.0,279000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.018209,19899,-2324,-9673.0,-3424,,1,1,0,1,0,0,Cleaning staff,1.0,3,3,THURSDAY,10,0,0,0,0,0,0,Other,0.7669582995200142,0.7630560199578901,0.3944954053123993,0.0387,0.0402,0.9757,0.6668,0.0323,0.0,0.069,0.0833,0.125,0.0247,0.0303,0.0272,0.0058,0.0221,0.0063,0.0,0.9737,0.6537,0.0,0.0,0.0,0.0,0.0417,0.0033,0.0055,0.0038,0.0,0.0,0.039,0.0402,0.9757,0.6713,0.0325,0.0,0.069,0.0833,0.125,0.0251,0.0308,0.0277,0.0058,0.0226,reg oper account,block of flats,0.0029,Wooden,No,1.0,1.0,1.0,1.0,-1764.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,2.066666666666667,0.11306666666666666,0.05470967741935484,-0.11678978843157947,15.0,0.75
22326,262269,Cash loans,F,N,N,0,166500.0,135000.0,13351.5,135000.0,Unaccompanied,Working,Higher education,Single / not married,Rented apartment,0.0088659999999999,10922,-538,-627.0,-3600,,1,1,0,1,0,0,Accountants,1.0,2,2,SATURDAY,9,0,0,0,0,0,0,Self-employed,0.8319192797884876,0.7865246470844545,0.520897599048938,0.1351,0.0598,0.996,,,0.04,0.0345,0.4167,,0.0561,,0.1142,,0.1293,0.1376,0.0621,0.996,,,0.0403,0.0345,0.4167,,0.0573,,0.119,,0.1369,0.1364,0.0598,0.996,,,0.04,0.0345,0.4167,,0.057,,0.1163,,0.132,,block of flats,0.1213,"Stone, brick",No,0.0,0.0,0.0,0.0,-1406.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.8108108108108109,0.08018918918918919,0.0989,-0.049258377586522614,2.0,1.0
15456,211483,Cash loans,F,N,Y,1,225000.0,675000.0,28597.5,675000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.030755,11551,-2608,-5526.0,-3587,,1,1,0,1,0,0,High skill tech staff,3.0,2,2,SATURDAY,16,0,0,0,0,0,0,Emergency,0.6358046707826744,0.7087224042433959,0.3474182272002641,0.2969,0.2124,0.9846,0.7892,,0.32,0.2759,0.3333,0.375,0.0562,0.2421,0.3045,0.0,0.0,0.3025,0.2204,0.9846,0.7975,,0.3222,0.2759,0.3333,0.375,0.0574,0.2645,0.3173,0.0,0.0,0.2998,0.2124,0.9846,0.792,,0.32,0.2759,0.3333,0.375,0.0571,0.2463,0.31,0.0,0.0,reg oper account,block of flats,0.2395,Panel,No,1.0,0.0,1.0,0.0,-452.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.1271,0.042366666666666664,-0.2257813176348368,7.0,1.0
36136,364415,Cash loans,F,Y,Y,1,270000.0,729792.0,37390.5,630000.0,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,0.072508,12548,-3007,-76.0,-15,0.0,1,1,0,1,1,1,,2.0,1,1,THURSDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.3631675137703762,0.669865521736047,,0.1794,0.0465,0.997,0.9592,0.0,0.24,0.069,0.875,0.9167,0.0,0.1463,0.2004,0.0,0.1182,0.1828,0.0483,0.997,0.9608,0.0,0.2417,0.069,0.875,0.9167,0.0,0.1598,0.2088,0.0,0.1251,0.1811,0.0465,0.997,0.9597,0.0,0.24,0.069,0.875,0.9167,0.0,0.1488,0.204,0.0,0.1207,reg oper account,block of flats,0.1585,Panel,No,0.0,0.0,0.0,0.0,-3363.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2.702933333333333,0.13848333333333335,0.05123446132596685,-0.23963978323238763,2.0,1.0
